path,page,text,parsed_text
dataExtraction\data_test\rootfolder\universita\algoBigData\10-quantum-un-qubit-04.pdf,3,"9/29/2021
410-quantum -un-qubit -04
qualche esempio sui numeri complessi
ricorda che il complesso coniugato di un numero 
complesso z=𝑥+𝑦𝑖è definito come തz=𝑥−𝑦𝑖
•calcola il complesso coniugato di 𝑧=2+3𝑖
–ҧ𝑧=2−3𝑖
•calcola il complesso coniugato di 𝑧=−𝑖
–ҧ𝑧=𝑖
7
qualche esempio sui qubit
•considera il qubit|ۧ𝜓=3
2|ۧ0−1
2|ۧ1
•quello mostrato è uno stato nel quale il qubit può 
effettivamente trovarsi?
–sì perché 3
22
+−1
22
=3
4+1
4=1
•se verrà misurato, con che probabilità il risultato 
della misura sarà |ۧ0?
–3
22
=3
4
87
8",quantum qubit qualche esempio numeri complessi ricorda complesso coniugato numero complesso z definito z calcola complesso coniugato calcola complesso coniugato qualche esempio qubit considera qubit quello mostrato stato qubit pu effettivamente trovarsi s se verr misurato probabilit risultato misura
dataExtraction\data_test\rootfolder\universita\algoBigData\10-quantum-un-qubit-04.pdf,4,"9/29/2021
510-quantum -un-qubit -04
qualche esempio sui qubit
•considera il qubit|ۧ𝜓=1
2|ۧ0−𝑖1
2|ۧ1
•quello mostrato è uno stato nel quale il qubit può 
effettivamente trovarsi?
–sì perché 1
22
+−𝑖1
22
=1
2+1
2=1
•se viene misurato, con che probabilità il risultato 
della misura sarà |ۧ0?
–1
2
9
qubit –rappresentazione vettoriale
•possiamo rappresentare lo stato descritto da 
𝛼0|0+𝛼1|1, in modo sintetico con  il vettore 
di numeri complessi 𝛼0
𝛼1
•quindi lo spazio degli stati di un qubit è uno 
spazio bidimensionale complesso
–detto spazio di Hilbert
•il vincolo di normalizzazione ci dice che il 
vettore di un qubit è anche unitario
–un vettore è unitario quando ha modulo (lunghezza) 
uguale a 1; si chiama anche versore 109
10",quantum qubit qualche esempio qubit considera qubit quello mostrato stato qubit pu effettivamente trovarsi s se viene misurato probabilit risultato misura qubit rappresentazione vettoriale possiamo rappresentare stato descritto modo sintetico vettore numeri complessi quindi spazio stati qubit spazio bidimensionale complesso detto spazio hilbert il vincolo normalizzazione dice vettore qubit unitario un vettore unitario quando modulo lunghezza uguale chiama versore
dataExtraction\data_test\rootfolder\universita\algoBigData\10-quantum-un-qubit-04.pdf,5,"9/29/2021
610-quantum -un-qubit -04
qubit –stati di base
•possiamo rappresentare lo stato descritto da 𝛼0=
1, e 𝛼1=0con il vettore 1
0
–quindi scrivere |0è equivalente a scrivere 1
0
•inoltre possiamo rappresentare lo stato descritto 
da 𝛼0=0, e 𝛼1=1con il vettore 0
1
–quindi scrivere |1è equivalente a scrivere 0
1
11
qubit –rappresentazione vettoriale
•quindi possiamo scrivere 𝛼0|0+𝛼1|1in forma 
vettoriale come  𝛼01
0+𝛼10
1=𝛼0
𝛼1
–i vettori 1
0e 0
1sono le basi della 
rappresentazione
•la notazione con le parentesi |𝑥non è che una 
forma sintetica per la rappresentazione vettoriale
–si chiama ket-notation ed è stata concepita da Dirac
–la forma |𝑥denota con il nome 𝑥un vettore colonna
1211
12",quantum qubit qubit stati base possiamo rappresentare stato descritto con vettore quindi scrivere equivalente scrivere inoltre possiamo rappresentare stato descritto con vettore quindi scrivere equivalente scrivere qubit rappresentazione vettoriale quindi possiamo scrivere in forma vettoriale vettori sono basi rappresentazione la notazione parentesi non forma sintetica rappresentazione vettoriale si chiama ket notation stata concepita dirac la forma denota nome un vettore colonna
dataExtraction\data_test\rootfolder\universita\algoBigData\10-quantum-un-qubit-04.pdf,6,"9/29/2021
710-quantum -un-qubit -04
qubit –rappresentazione vettoriale
•quindi
–un qubit è quindi un vettore unitario in uno spazio 
vettoriale bidimensionale complesso
–la notazione usata per descrivere qubit è una 
notazione per descrivere vettori
13
es. sulla rappresentazione vettoriale
•considera il qubit|ۧ𝜓=3
2|ۧ0−1
2|ۧ1
•mostrane la reppresentazione vettoriale
–|ۧ𝜓=3
21
0−1
20
1=3
2
−1
2
1413
14",quantum qubit qubit rappresentazione vettoriale quindi un qubit quindi vettore unitario spazio vettoriale bidimensionale complesso la notazione usata descrivere qubit notazione descrivere vettori rappresentazione vettoriale considera qubit mostrane reppresentazione vettoriale 
dataExtraction\data_test\rootfolder\universita\algoBigData\10-quantum-un-qubit-04.pdf,7,"9/29/2021
810-quantum -un-qubit -04
qubit –interpretazione geometrica
•se assumiamo, per semplicità, che 𝛼0e 𝛼1siano 
numeri reali , possiamo rappresentare 𝛼01
0+
𝛼10
1con il disegno:
150
1= |1
1
0=|0circonferenza unitaria
𝛼0𝛼1tutti i qubit con ampiezze reali
sono un punto su questa
circonferenza
qubit –interpretazione geometrica
•ad esempio se 𝛼0=ൗ1
2e 𝛼1=ൗ1
2abbiamo
160
1= |1
1
0=|0ൗ𝜋4ൗ1
2|0+ൗ1
2|1
𝛼0=cos𝜋
4=ൗ1
2𝛼1=sin𝜋
4=ൗ1
215
16",quantum qubit qubit interpretazione geometrica se assumiamo semplicit siano numeri reali possiamo rappresentare con disegno circonferenza unitaria tutti qubit ampiezze reali punto circonferenza qubit interpretazione geometrica ad esempio abbiamo cos sin
dataExtraction\data_test\rootfolder\universita\algoBigData\10-quantum-un-qubit-04.pdf,8,"9/29/2021
910-quantum -un-qubit -04
qubit –interpretazione geometrica
•consideriamo ora un generico stato |𝜓con 
ampiezze (per semplicità) reali ed osserviamo gli 
angoli della sua rappresentazione geometrica
170
1= |1
1
0=|0𝜃|𝜓
qubit –interpretazione geometrica
•possiamo esprimere le componenti di |𝜓usando 
gli angoli che forma con gli assi
•abbiamo che |𝜓=cos𝜃|0+sin𝜃|1=cos𝜃
sin𝜃
180
1= |1
1
0=|0𝜃|𝜓17
18",quantum qubit qubit interpretazione geometrica consideriamo ora generico stato con ampiezze per semplicit reali osserviamo angoli rappresentazione geometrica qubit interpretazione geometrica possiamo esprimere componenti usando angoli forma assi abbiamo cossincos sin 
dataExtraction\data_test\rootfolder\universita\algoBigData\10-quantum-un-qubit-04.pdf,9,"9/29/2021
1010-quantum -un-qubit -04
qubit –interpretazione geometrica
•se misuriamo |𝜓=cos𝜃|0+sin𝜃|1
otteniamo |0con probabilità cos𝜃2e |1con 
probabilità sin𝜃2
190
1= |1
1
0=|0𝜃|𝜓
qubit –interpretazione geometrica
•possiamo riscrivere sin𝜃2=cosΤ𝜋2−𝜃2
•quindi la probabilità di misurare uno |0o un  |1
è data dal coseno al quadrato dell’angolo che lo 
stato ha con ciascuno di essi 
200
1= |1
1
0=|0𝜃|𝜓
ൗ𝜋2−𝜃19
20",quantum qubit qubit interpretazione geometrica se misuriamo cossin otteniamo con probabilit cose con probabilit sin qubit interpretazione geometrica possiamo riscrivere sincos quindi probabilit misurare data coseno quadrato dellangolo stato ciascuno essi 
dataExtraction\data_test\rootfolder\universita\algoBigData\10-quantum-un-qubit-04.pdf,10,"9/29/2021
1110-quantum -un-qubit -04
qubit –interpretazione geometrica
•negli esempi ci siamo riferiti finora a valori reali, 
ma la proporzionalità con il coseno al quadrato 
rimane anche se i numeri sono complessi
210
1= |1
1
0=|0𝜃|𝜓
ൗ𝜋2−𝜃
qubit –basi diverse
•lo stato |𝜓di un qubit esiste indipendentemente 
dalla base nella quale lo esprimiamo
•possiamo quindi scegliere due versori 
(perpendicolari) |𝑢e |𝑢⊥diversi da  |0e|1
ed esprimere |𝜓in funzione di |𝑢e |𝑢⊥
220
1= |1
1
0=|0𝜃|𝜓
ൗ𝜋2−𝜃
|𝑢|𝑢⊥21
22",quantum qubit qubit interpretazione geometrica negli esempi riferiti finora valori reali proporzionalit coseno quadrato rimane numeri complessi qubit basi diverse lo stato di qubit esiste indipendentemente base esprimiamo possiamo quindi scegliere due versori perpendicolari e diversi e esprimere in funzione e 
dataExtraction\data_test\rootfolder\universita\algoBigData\10-quantum-un-qubit-04.pdf,11,"9/29/2021
1210-quantum -un-qubit -04
qubit –basi diverse
•la regola che lega la probabilità di misurare uno 
stato di base o un altro in funzione del coseno 
dell’angolo che lo stato ha con ciascuno di essi 
vale anche per versori diversi da  |0e|1
230
1= |1
1
0=|0𝜃|𝜓
ൗ𝜋2−𝜃
|𝑢|𝑢⊥
qubit –basi diverse
•nota: la misura può essere effettuata 
relativamente a qualunque base
24𝜃|𝜓
ൗ𝜋2−𝜃
|𝑢|𝑢⊥23
24",quantum qubit qubit basi diverse la regola lega probabilit misurare stato base altro funzione coseno dellangolo stato ciascuno essi vale versori diversi e qubit basi diverse nota misura pu essere effettuata relativamente qualunque base 
dataExtraction\data_test\rootfolder\universita\algoBigData\10-quantum-un-qubit-04.pdf,12,"9/29/2021
1310-quantum -un-qubit -04
qubit –basi diverse
•quindi la misura di un qubit necessita della 
specifica della base rispetto alla quale è effettuata
•consideriamo ora il caso generale dei numeri 
complessi
25𝜃|𝜓
ൗ𝜋2−𝜃
|𝑢|𝑢⊥
richiamo –prodotto scalare
•il prodotto scalare tra due vettori (il primo riga e 
il secondo colonna ) si calcola in questo modo
•𝑎1𝑎2⋯𝑎𝑛𝑏1
𝑏2
⋮
𝑏𝑛=
=𝑎1𝑏1+𝑎2𝑏2+⋯+𝑎𝑛𝑏𝑛=෍
𝑖=1𝑛
𝑎𝑖𝑏𝑖
2625
26",quantum qubit qubit basi diverse quindi misura qubit necessita specifica base rispetto effettuata consideriamo ora caso generale numeri complessi richiamo prodotto scalare il prodotto scalare due vettori primo riga secondo colonna calcola modo 
dataExtraction\data_test\rootfolder\universita\algoBigData\10-quantum-un-qubit-04.pdf,13,"9/29/2021
1410-quantum -un-qubit -04
richiamo –complesso coniugato
•si ricorda che il complesso coniugato di un 
numero complesso z=𝑥+𝑦𝑖è definito come 
തz=𝑥−𝑦𝑖
27
prodotto scalare tra vettori complessi
•il prodotto scalare tra due vettori complessi |𝜑e 
|𝜓si calcola facendo il trasposto coniugato di 
|𝜑e calcolando il prodotto scalare con il 
secondo
•se |𝜑=𝑎1
𝑎2
⋮
𝑎𝑛il suo trasposto coniugato è 
ത𝑎1ത𝑎2⋯ത𝑎𝑛
2827
28",quantum qubit richiamo complesso coniugato si ricorda complesso coniugato numero complesso z definito z prodotto scalare vettori complessi il prodotto scalare due vettori complessi e si calcola trasposto coniugato e calcolando prodotto scalare secondo se il trasposto coniugato 
dataExtraction\data_test\rootfolder\universita\algoBigData\10-quantum-un-qubit-04.pdf,14,"9/29/2021
1510-quantum -un-qubit -04
un po’ di notazione
•mentre |𝑥denota un vettore colonna
•abbiamo che ۦ|𝑥denota un vettore riga
29
qubit –basi diverse
•in generale, la probabilità che la misura di un 
qubit|𝜓dia un certo versore |𝑢la possiamo 
calcolare come il quadrato del prodotto scalare 
tra il versore e il qubit
–si calcola usando il complesso coniugato del versore
30𝜃|𝜓
ൗ𝜋2−𝜃
|𝑢|𝑢⊥29
30",quantum qubit po notazione mentre denota vettore colonna abbiamo denota vettore riga qubit basi diverse in generale probabilit misura qubitdia certo versore la possiamo calcolare quadrato prodotto scalare versore qubit si calcola usando complesso coniugato versore 
dataExtraction\data_test\rootfolder\universita\algoBigData\10-quantum-un-qubit-04.pdf,15,"9/29/2021
1610-quantum -un-qubit -04
qubit –basi diverse
•il prodotto scalare tra |𝑢=𝛽0|0+𝛽1|1e |𝜓
=𝛼0|0+𝛼1|1si calcola come
–𝛽0𝛽1𝛼0
𝛼1=𝛽0𝛼0+𝛽1𝛼1
–si ricorda che il complesso coniugato di un numero 
complesso z=𝑥+𝑦𝑖è definito come തz=𝑥−𝑦𝑖
31𝜃|𝜓
ൗ𝜋2−𝜃
|𝑢|𝑢⊥
qubit –basi diverse
•il prodotto scalare tra |𝑢e |𝜓si denota anche 
con 𝑢𝜓dove la prima parentesi angolata si 
chiama brae le seconda ket(bra-ketnotation , 
dovuta a Dirac)
32𝜃|𝜓
ൗ𝜋2−𝜃
|𝑢|𝑢⊥31
32",quantum qubit qubit basi diverse il prodotto scalare e si calcola si ricorda complesso coniugato numero complesso z definito z qubit basi diverse il prodotto scalare e si denota dove prima parentesi angolata chiama brae seconda ketbra ketnotation dovuta dirac 
dataExtraction\data_test\rootfolder\universita\algoBigData\10-quantum-un-qubit-04.pdf,16,"9/29/2021
1710-quantum -un-qubit -04
qubit –basi diverse
•quindi la probabilità che la misura di un qubit|𝜓
dia un certo versore |𝑢la possiamo denotare 
come 𝑢𝜓2
33𝜃|𝜓
ൗ𝜋2−𝜃
|𝑢|𝑢⊥
esempio sulla misura
•calcola la probabilità che |0assuma il valore del 
versore |ۧ+=ൗ1
2|0+ൗ1
2|1
•abbiamo che |0=1
0
•quindi 0+=10ൗ1
2
ൗ1
2=ൗ1
2
•e 0+2=1
2
3433
34",quantum qubit qubit basi diverse quindi probabilit misura qubit dia certo versore la possiamo denotare esempio misura calcola probabilit assuma valore versore abbiamo quindi
dataExtraction\data_test\rootfolder\universita\algoBigData\10-quantum-un-qubit-04.pdf,17,"9/29/2021
1810-quantum -un-qubit -04
esempio sulla misura
•calcola la probabilità che |0assuma il valore del 
versore |ۧ1
•abbiamo che |0=1
0e |1=0
1
•quindi 01=100
1=0
•e 012=0
35
35",quantum qubit esempio misura calcola probabilit assuma valore versore abbiamo quindi
dataExtraction\data_test\rootfolder\universita\algoBigData\15-quantum-un-qubit-heisenberg-02.pdf,0,"10/6/2021
115-quantum -un-qubit -Heisenberg -02
1Next Generation Computing Models
Quantum Computing
Il principio di indeterminazione di Heisenberg 
e un qubit
principio di indeterminazione  di 
Heisenberg
•nella meccanica quantistica il principio stabilisce 
l'impossibilità di determinare con precisione a 
priori illimitata i valori di due variabili 
incompatibili, che specificano lo stato di una 
particella
–es. posizione e velocità
•indaghiamo il principio usando il quantum 
computing
21
2",quantum qubit heisenberg next generation computing models quantum computing principio indeterminazione heisenberg qubit principio indeterminazione heisenberg nella meccanica quantistica principio stabilisce limpossibilit determinare precisione priori illimitata valori due variabili incompatibili specificano stato particella es posizione velocit indaghiamo principio usando quantum computing
dataExtraction\data_test\rootfolder\universita\algoBigData\15-quantum-un-qubit-heisenberg-02.pdf,1,"10/6/2021
215-quantum -un-qubit -Heisenberg -02
due basi
•usiamo due basi per descrivere lo stesso qubit
–la base costituita dai vettori |0e|1
–e la base costituita da |ۧ+=ൗ1
2|0+ൗ1
2|1e 
|ۧ−=ൗ1
2|0−ൗ1
2|1
30
1= |1
1
0=|0|+
ൗ𝜋4
|−
|ۧ+e |ۧ−è una base
•in primo luogo |ۧ+=ൗ1
2|0+ൗ1
2|1è 
effettivamente uno stato
–infatti ൗ1
22
+ൗ1
22
=Τ12+Τ12=1
•e anche |ۧ−=ൗ1
2|0−ൗ1
2|1è 
effettivamente uno stato
–infatti ൗ1
22
+−ൗ1
22
=Τ12+Τ12=1
43
4",quantum qubit heisenberg due basi usiamo due basi descrivere stesso qubit la base costituita vettori e base costituita base in primo luogo effettivamente stato infatti effettivamente stato infatti
dataExtraction\data_test\rootfolder\universita\algoBigData\15-quantum-un-qubit-heisenberg-02.pdf,2,"10/6/2021
315-quantum -un-qubit -Heisenberg -02
|ۧ+e |ۧ−è una base
•inoltre |ۧ+e |ۧ−sono perpendicolari tra loro
•per dimostrarlo basta calcolare il loro prodotto 
scalare +−=ൗ1
2ൗ1
2ൗ1
2
−ൗ1
2e osservare 
che ha valore nullo
5
due misure
•dato un qubit|𝜓, possiamo misurarlo sia usando 
la base |0e|1sia usando la base |ۧ+e |ۧ−
•la prima misura la chiamiamo bit-value e la 
seconda sign -value
6|1
|0|+
ൗ𝜋4
|−|𝜓5
6",quantum qubit heisenberg base inoltre sono perpendicolari per dimostrarlo basta calcolare prodotto scalare osservare valore nullo due misure dato qubit possiamo misurarlo usando base esia usando base la prima misura chiamiamo bit value seconda sign value 
dataExtraction\data_test\rootfolder\universita\algoBigData\15-quantum-un-qubit-heisenberg-02.pdf,3,"10/6/2021
415-quantum -un-qubit -Heisenberg -02
posizione e velocità
•immaginiamo ora che il bit -value corrisponda 
alla posizione e che il sign-value corrisponda alla 
velocità
7|1
|0|+
ൗ𝜋4
|−|𝜓
posizione e velocità
•è possibile in un certo istante conoscere 
posizione e velocità di un qubit ?
8|1
|0|+
ൗ𝜋4
|−|𝜓7
8",quantum qubit heisenberg posizione velocit immaginiamo ora bit value corrisponda posizione sign value corrisponda velocit posizione velocit possibile certo istante conoscere posizione velocit qubit 
dataExtraction\data_test\rootfolder\universita\algoBigData\15-quantum-un-qubit-heisenberg-02.pdf,4,"10/6/2021
515-quantum -un-qubit -Heisenberg -02
conoscenza perfetta del bit -value
•perchè si possa conoscere perfettamente il bit -
value di |𝜓occorre che esso sia |0oppure |1
9|1
|0|+
ൗ𝜋4
|−|𝜓
conoscenza perfetta del sign-value
•perchè si possa conoscere perfettamente il sign-
value di |𝜓occorre che esso sia |ۧ+oppure |ۧ−
10|1
|0|+
ൗ𝜋4
|−|𝜓9
10",quantum qubit heisenberg conoscenza perfetta bit value perch possa conoscere perfettamente bit value occorre esso oppure conoscenza perfetta sign value perch possa conoscere perfettamente sign value occorre esso oppure 
dataExtraction\data_test\rootfolder\universita\algoBigData\15-quantum-un-qubit-heisenberg-02.pdf,5,"10/6/2021
615-quantum -un-qubit -Heisenberg -02
conoscenza perfetta di entrambi
•se possiamo conoscere perfettamente il sign-
value di |𝜓, es. perchè esso è molto vicino a |0, 
allora abbiamo molta incertezza sul sign-value
–è |ۧ+con probabilità Τ12e |ۧ−con probabilità Τ12
11|1
|0|+
ൗ𝜋4
|−|𝜓
11",quantum qubit heisenberg conoscenza perfetta entrambi se possiamo conoscere perfettamente sign value perch esso molto vicino allora molta incertezza sign value con probabilit con probabilit 
dataExtraction\data_test\rootfolder\universita\algoBigData\primoEsonero\020-linguaggi-e-grammatiche-24.pdf,0,"9/28/2021
102-linguaggio -e-grammatiche -24
1Linguaggi e Grammatiche
2Linguaggi e informatica
•ubiquitari nelle applicazioni
–linguaggi di programmazione
•compilatori ed interpreti
–linguaggi di comunicazione
•protocolli per il dialogo traentità omologhe
–linguaggi per intefacce
•specifica di sequenze di operazioni
•paradigmatici nella teoria
–molti importanti problemi teorici sono riconducibili a 
quello dell’appartenenza di una stringa ad un 
linguaggio1
2",linguaggio grammatiche linguaggi grammatiche linguaggi informatica ubiquitari applicazioni linguaggi programmazione compilatori interpreti linguaggi comunicazione protocolli dialogo traentit omologhe linguaggi intefacce specifica sequenze operazioni paradigmatici teoria molti importanti problemi teorici riconducibili dellappartenenza stringa linguaggio
